date,city,pax
2015-06-01,TIRUCHIRAPPALLI,13455.0
2015-06-01,TIRUPATI,26545.0
2015-06-01,TUTICORIN,7931.0
2015-06-01,UDAIPUR,33176.0
2015-06-01,VADODARA,69019.0
2015-06-01,VARANASI,80999.0
2015-06-01,VIJAYAWADA,31616.0
2015-06-01,VISAKHAPATNAM,118114.0
2015-07-01,AGARTALA,71619.0
2015-07-01,AGATTI ISLAND,899.0
2015-07-01,AGRA,37.0
2015-07-01,AHMEDABAD,387083.0
2015-07-01,AIZAWL,12474.0
2015-07-01,AMRITSAR,73495.0
2015-07-01,AURANGABAD,21572.0
2015-07-01,BAGDOGRA,87173.0
2015-07-01,BELGAUM,13382.0
2015-07-01,BENGALURU,1280466.0
2015-07-01,BHAVNAGAR,3185.0
2015-07-01,BHOPAL,53040.0
2015-07-01,BHUBANESWAR,131309.0
2015-07-01,BHUJ,10711.0
2015-07-01,CHANDIGARH,127336.0
2015-07-01,CHENNAI,885998.0
2015-07-01,COIMBATORE,126524.0
2015-07-01,DEHRADUN,36129.0
2015-07-01,DELHI,2755569.0
2015-07-01,DHARAMSALA,6126.0
2015-07-01,DIBRUGARH,27591.0
2015-07-01,DIMAPUR,9256.0
2015-07-01,DIU,1358.0
2015-07-01,DURGAPUR,411.0
2015-07-01,GAYA,1667.0
2015-07-01,GOA,362741.0
2015-07-01,GUWAHATI,242859.0
2015-07-01,GWALIOR,648.0
2015-07-01,HUBLI,2773.0
2015-07-01,HYDERABAD,792937.0
2015-07-01,IMPHAL,57221.0
2015-07-01,INDORE,125378.0
2015-07-01,JABALPUR,22267.0
2015-07-01,JAIPUR,188240.0
2015-07-01,JAMMU,98734.0
2015-07-01,JAMNAGAR,5705.0
2015-07-01,JODHPUR,23405.0
2015-07-01,JORHAT,4713.0
2015-07-01,KADAPA,869.0
2015-07-01,KHAJURAHO,1558.0
2015-07-01,KOCHI,255042.0
2015-07-01,KOLKATA,803850.0
2015-07-01,KOZHIKODE,29929.0
2015-07-01,KULLU,1211.0
2015-07-01,LEH,35267.0
2015-07-01,LILABARI,385.0
2015-07-01,LUCKNOW,210071.0
2015-07-01,MADURAI,45877.0
2015-07-01,MANGALURU,74302.0
2015-07-01,MUMBAI,2308041.0
2015-07-01,NAGPUR,117107.0
2015-07-01,PANTNAGAR,382.0
2015-07-01,PATNA,127890.0
2015-07-01,PORBANDAR,1182.0
2015-07-01,PORT BLAIR,49313.0
2015-07-01,PRAYAGRAJ,4629.0
2015-07-01,PUDUCHERRY,962.0
2015-07-01,PUNE,421882.0
2015-07-01,RAIPUR,88623.0
2015-07-01,RAJAHMUNDRY,21619.0
2015-07-01,RAJKOT,31562.0
2015-07-01,RANCHI,63441.0
2015-07-01,SHILLONG,712.0
2015-07-01,SILCHAR,18723.0
2015-07-01,SRINAGAR,218569.0
2015-07-01,SURAT,3020.0
2015-07-01,TEZPUR,332.0
2015-07-01,THIRUVANANTHAPURAM,96886.0
2015-07-01,TIRUCHIRAPPALLI,13102.0
2015-07-01,TIRUPATI,31736.0
2015-07-01,TUTICORIN,9364.0
2015-07-01,UDAIPUR,39998.0
2015-07-01,VADODARA,67971.0
2015-07-01,VARANASI,74699.0
2015-07-01,VIJAYAWADA,35746.0
2015-07-01,VISAKHAPATNAM,137701.0
2015-08-01,AGARTALA,70854.0
2015-08-01,AGATTI ISLAND,914.0
2015-08-01,AGRA,88.0
2015-08-01,AHMEDABAD,398389.0
2015-08-01,AIZAWL,12488.0
2015-08-01,AMRITSAR,72046.0
2015-08-01,AURANGABAD,25254.0
2015-08-01,BAGDOGRA,84497.0
2015-08-01,BELGAUM,13056.0
2015-08-01,BENGALURU,1281898.0
2015-08-01,BHAVNAGAR,3317.0
2015-08-01,BHOPAL,54518.0
2015-08-01,BHUBANESWAR,131586.0
2015-08-01,BHUJ,11652.0
2015-08-01,CHANDIGARH,123696.0
2015-08-01,CHENNAI,878596.0
2015-08-01,COIMBATORE,129493.0
2015-08-01,DEHRADUN,36585.0
2015-08-01,DELHI,2709311.0
2015-08-01,DHARAMSALA,5453.0
2015-08-01,DIBRUGARH,23254.0
2015-08-01,DIMAPUR,7541.0
2015-08-01,DIU,2006.0
2015-08-01,DURGAPUR,221.0
2015-08-01,GAYA,1606.0
2015-08-01,GOA,374605.0
2015-08-01,GUWAHATI,212173.0
2015-08-01,GWALIOR,698.0
2015-08-01,HUBLI,3012.0
2015-08-01,HYDERABAD,794643.0
2015-08-01,IMPHAL,52468.0
2015-08-01,INDORE,138117.0
2015-08-01,JABALPUR,20997.0
2015-08-01,JAIPUR,192349.0
2015-08-01,JAMMU,88648.0
2015-08-01,JAMNAGAR,5947.0
2015-08-01,JODHPUR,24537.0
2015-08-01,JORHAT,4465.0
2015-08-01,KADAPA,437.0
2015-08-01,KHAJURAHO,2745.0
2015-08-01,KOCHI,274308.0
2015-08-01,KOLKATA,777026.0
2015-08-01,KOZHIKODE,32747.0
2015-08-01,KULLU,940.0
2015-08-01,LEH,35260.0
2015-08-01,LILABARI,234.0
2015-08-01,LUCKNOW,211705.0
2015-08-01,MADURAI,48570.0
2015-08-01,MANGALURU,76043.0
2015-08-01,MUMBAI,2374266.0
2015-08-01,NAGPUR,115876.0
2015-08-01,PANTNAGAR,213.0
2015-08-01,PATNA,119823.0
2015-08-01,PORBANDAR,1122.0
2015-08-01,PORT BLAIR,53213.0
2015-08-01,PRAYAGRAJ,3967.0
2015-08-01,PUDUCHERRY,950.0
2015-08-01,PUNE,421920.0
2015-08-01,RAIPUR,89771.0
2015-08-01,RAJAHMUNDRY,18153.0
2015-08-01,RAJKOT,31224.0
2015-08-01,RANCHI,57740.0
2015-08-01,SHILLONG,454.0
2015-08-01,SILCHAR,17733.0
2015-08-01,SRINAGAR,186357.0
2015-08-01,SURAT,3071.0
2015-08-01,TEZPUR,242.0
2015-08-01,THIRUVANANTHAPURAM,105706.0
2015-08-01,TIRUCHIRAPPALLI,15280.0
2015-08-01,TIRUPATI,36102.0
2015-08-01,TUTICORIN,9062.0
2015-08-01,UDAIPUR,43180.0
2015-08-01,VADODARA,70393.0
2015-08-01,VARANASI,76832.0
2015-08-01,VIJAYAWADA,31451.0
2015-08-01,VISAKHAPATNAM,135640.0
2015-09-01,AGARTALA,67116.0
2015-09-01,AGATTI ISLAND,1166.0
2015-09-01,AGRA,167.0
2015-09-01,AHMEDABAD,412227.0
2015-09-01,AIZAWL,12192.0
2015-09-01,AMRITSAR,76473.0
2015-09-01,AURANGABAD,24215.0
2015-09-01,BAGDOGRA,89223.0
2015-09-01,BELGAUM,12777.0
2015-09-01,BENGALURU,1210892.0
2015-09-01,BHAVNAGAR,3271.0
2015-09-01,BHOPAL,52645.0
2015-09-01,BHUBANESWAR,130929.0
2015-09-01,BHUJ,11404.0
2015-09-01,CHANDIGARH,127391.0
2015-09-01,CHENNAI,850841.0
2015-09-01,COCHIN,39810.0
2015-09-01,COIMBATORE,126779.0
2015-09-01,DEHRADUN,36596.0
2015-09-01,DELHI,2679746.0
2015-09-01,DHARAMSALA,6382.0
2015-09-01,DIBRUGARH,22419.0
2015-09-01,DIMAPUR,7434.0
2015-09-01,DIU,1651.0
2015-09-01,DURGAPUR,415.0
2015-09-01,GAYA,2100.0
2015-09-01,GOA,397296.0
2015-09-01,GORAKHPUR,586.0
2015-09-01,GUWAHATI,216736.0
2015-09-01,GWALIOR,699.0
2015-09-01,HUBLI,2796.0
2015-09-01,HYDERABAD,746152.0
2015-09-01,IMPHAL,54969.0
2015-09-01,INDORE,133618.0
2015-09-01,JABALPUR,20672.0
2015-09-01,JAIPUR,198807.0
2015-09-01,JAMMU,101599.0
2015-09-01,JAMNAGAR,5793.0
2015-09-01,JODHPUR,23669.0
2015-09-01,JORHAT,4075.0
2015-09-01,KHAJURAHO,2366.0
2015-09-01,KOCHI,213006.0
2015-09-01,KOLKATA,780286.0
2015-09-01,KOZHIKODE,26310.0
2015-09-01,KULLU,1548.0
2015-09-01,LEH,34559.0
2015-09-01,LILABARI,427.0
2015-09-01,LUCKNOW,201938.0
2015-09-01,MADURAI,47422.0
2015-09-01,MANGALURU,74841.0
2015-09-01,MUMBAI,2351925.0
2015-09-01,MYSURU,371.0
2015-09-01,NAGPUR,113787.0
2015-09-01,PANTNAGAR,449.0
2015-09-01,PATNA,119113.0
2015-09-01,PORBANDAR,1254.0
2015-09-01,PORT BLAIR,57436.0
2015-09-01,PRAYAGRAJ,4052.0
2015-09-01,PUDUCHERRY,703.0
2015-09-01,PUNE,415904.0
2015-09-01,RAIPUR,86483.0
2015-09-01,RAJAHMUNDRY,17753.0
2015-09-01,RAJKOT,30934.0
2015-09-01,RANCHI,60295.0
2015-09-01,SHILLONG,595.0
2015-09-01,SILCHAR,17086.0
2015-09-01,SRINAGAR,185924.0
2015-09-01,SURAT,2800.0
2015-09-01,TEZPUR,372.0
2015-09-01,THIRUVANANTHAPURAM,96971.0
2015-09-01,TIRUCHIRAPPALLI,13677.0
2015-09-01,TIRUPATI,32498.0
2015-09-01,TUTICORIN,8445.0
2015-09-01,UDAIPUR,41040.0
2015-09-01,VADODARA,71773.0
2015-09-01,VARANASI,86087.0
2015-09-01,VIJAYAWADA,29093.0
2015-09-01,VISAKHAPATNAM,131395.0
2015-10-01,AGARTALA,75299.0
2015-10-01,AGATTI ISLAND,1295.0
2015-10-01,AGRA,56478.0
2015-10-01,AHMEDABAD,395626.0
2015-10-01,AIZAWL,20805.0
2015-10-01,AMRITSAR,61006.0
2015-10-01,AURANGABAD,19590.0
2015-10-01,BAGDOGRA,99468.0
2015-10-01,BELGAUM,12527.0
2015-10-01,BENGALURU,1297419.0
2015-10-01,BHAVNAGAR,2801.0
2015-10-01,BHOPAL,44864.0
2015-10-01,BHUBANESWAR,130608.0
2015-10-01,BHUJ,12250.0
2015-10-01,CHANDIGARH,132534.0
2015-10-01,CHENNAI,870441.0
2015-10-01,COCHIN,34440.0
2015-10-01,COIMBATORE,149283.0
2015-10-01,DEHRADUN,39593.0
2015-10-01,DELHI,2569590.0
2015-10-01,DHARAMSALA,7723.0
2015-10-01,DIBRUGARH,37894.0
2015-10-01,DIMAPUR,13013.0
2015-10-01,DIU,2124.0
2015-10-01,DURGAPUR,515.0
2015-10-01,GAYA,61981.0
2015-10-01,GOA,418051.0
2015-10-01,GORAKHPUR,2357.0
2015-10-01,GUWAHATI,262391.0
2015-10-01,GWALIOR,838.0
2015-10-01,HUBLI,3080.0
2015-10-01,HYDERABAD,793951.0
2015-10-01,IMPHAL,109018.0
2015-10-01,INDORE,146531.0
2015-10-01,JABALPUR,20676.0
2015-10-01,JAIPUR,204035.0
2015-10-01,JAMMU,111213.0
2015-10-01,JAMNAGAR,338.0
2015-10-01,JODHPUR,22856.0
2015-10-01,JORHAT,4202.0
2015-10-01,KHAJURAHO,23824.0
2015-10-01,KOCHI,215489.0
2015-10-01,KOLKATA,886217.0
2015-10-01,KOZHIKODE,26971.0
2015-10-01,KULLU,1972.0
2015-10-01,LEH,28372.0
2015-10-01,LILABARI,282.0
2015-10-01,LUCKNOW,199027.0
2015-10-01,MADURAI,93447.0
2015-10-01,MANGALURU,77975.0
2015-10-01,MUMBAI,2279092.0
2015-10-01,MYSURU,541.0
2015-10-01,NAGPUR,123437.0
2015-10-01,PANTNAGAR,844.0
2015-10-01,PATNA,113091.0
2015-10-01,PORBANDAR,1350.0
2015-10-01,PORT BLAIR,83801.0
2015-10-01,PRAYAGRAJ,4484.0
2015-10-01,PUDUCHERRY,403.0
2015-10-01,PUNE,433049.0
2015-10-01,RAIPUR,111578.0
2015-10-01,RAJAHMUNDRY,20923.0
2015-10-01,RAJKOT,29496.0
2015-10-01,RANCHI,63076.0
2015-10-01,SHILLONG,1398.0
2015-10-01,SILCHAR,19224.0
2015-10-01,SRINAGAR,226352.0
2015-10-01,SURAT,11560.0
2015-10-01,TEZPUR,225.0
2015-10-01,THIRUVANANTHAPURAM,136052.0
2015-10-01,TIRUCHIRAPPALLI,12274.0
2015-10-01,TIRUPATI,32603.0
2015-10-01,TUTICORIN,8144.0
2015-10-01,UDAIPUR,41701.0
2015-10-01,VADODARA,69787.0
2015-10-01,VARANASI,181337.0
2015-10-01,VIJAYAWADA,49464.0
2015-10-01,VISAKHAPATNAM,159412.0
2015-11-01,AGARTALA,79233.0
2015-11-01,AGATTI ISLAND,1587.0
2015-11-01,AGRA,1291.0
2015-11-01,AHMEDABAD,484511.0
2015-11-01,AIZAWL,5890.0
2015-11-01,AMRITSAR,81531.0
2015-11-01,AURANGABAD,25018.0
2015-11-01,BAGDOGRA,100185.0
2015-11-01,BELGAUM,11884.0
2015-11-01,BENGALURU,1313752.0
2015-11-01,BHAVNAGAR,3045.0
2015-11-01,BHOPAL,59625.0
2015-11-01,BHUBANESWAR,156776.0
2015-11-01,BHUJ,13101.0
2015-11-01,CHANDIGARH,129706.0
2015-11-01,CHENNAI,860052.0
2015-11-01,COCHIN,36402.0
2015-11-01,COIMBATORE,128537.0
