date,market,pax,a,b,is_imputed,is_covid,pax_a_to_b,pax_b_to_a
2015-05-01,DELHI – NAGPUR,28407.0,DELHI,NAGPUR,False,False,13946.0,14461.0
2015-05-01,BENGALURU – GUWAHATI,10674.0,BENGALURU,GUWAHATI,False,False,5264.0,5410.0
2015-05-01,HYDERABAD – KOCHI,25912.0,HYDERABAD,KOCHI,False,False,13143.0,12769.0
2015-05-01,BENGALURU – JAIPUR,44249.0,BENGALURU,JAIPUR,False,False,20381.0,23868.0
2015-05-01,HYDERABAD – PUNE,21362.0,HYDERABAD,PUNE,False,False,11062.0,10300.0
2015-05-01,BENGALURU – THIRUVANANTHAPURAM,29911.0,BENGALURU,THIRUVANANTHAPURAM,False,False,14528.0,15383.0
2015-05-01,DELHI – UDAIPUR,15087.0,DELHI,UDAIPUR,False,False,7441.0,7646.0
2015-05-01,DELHI – JAMMU,57192.0,DELHI,JAMMU,False,False,32751.0,24441.0
2015-05-01,CHENNAI – KOCHI,38559.0,CHENNAI,KOCHI,False,False,20061.0,18498.0
2015-05-01,HYDERABAD – TIRUPATI,20438.0,HYDERABAD,TIRUPATI,False,False,10703.0,9735.0
2015-06-01,DELHI – MUMBAI,462561.0,DELHI,MUMBAI,False,False,248419.0,214142.0
2015-06-01,BENGALURU – DELHI,266141.0,BENGALURU,DELHI,False,False,130835.0,135306.0
2015-06-01,BENGALURU – MUMBAI,243475.0,BENGALURU,MUMBAI,False,False,125043.0,118432.0
2015-06-01,DELHI – HYDERABAD,156898.0,DELHI,HYDERABAD,False,False,81092.0,75806.0
2015-06-01,DELHI – KOLKATA,161609.0,DELHI,KOLKATA,False,False,82389.0,79220.0
2015-06-01,DELHI – PUNE,140234.0,DELHI,PUNE,False,False,72794.0,67440.0
2015-06-01,AHMEDABAD – DELHI,97369.0,AHMEDABAD,DELHI,False,False,44645.0,52724.0
2015-06-01,CHENNAI – MUMBAI,152664.0,CHENNAI,MUMBAI,False,False,74824.0,77840.0
2015-06-01,KOLKATA – MUMBAI,125544.0,KOLKATA,MUMBAI,False,False,66193.0,59351.0
2015-06-01,HYDERABAD – MUMBAI,149105.0,HYDERABAD,MUMBAI,False,False,72458.0,76647.0
2015-06-01,CHENNAI – DELHI,157566.0,CHENNAI,DELHI,False,False,74883.0,82683.0
